rA/rC,Simple diff-X,Diff-Xmullican,delta-Hf,delta-Smix,(Delta),Possibility of formation
0.481975832,0.782829312,1.065247084,3.814681488,11.61328628,0.003847128,1
0.560638863,0.512659771,0.770884572,4.477665508,13.35100262,0.043214144,1
0.579216809,0.440468498,0.570314293,-13.63389251,11.58817174,0.130863287,0
0.547661925,0.556499595,0.65955596,0.010207586,13.15954606,0.003590471,1
0.534163112,0.531778189,0.704050326,1.639070911,13.08060355,0.022537757,1
0.454478428,0.526962117,0.716806658,2.108588543,13.30233451,0.121025368,1
0.551690344,0.550084949,0.646600965,0.202792524,11.28789526,0.034316714,1
0.553335187,0.459854746,0.517074883,1.379110953,13.09655378,0.057378058,1
0.455921623,0.505677953,0.694551991,2.417559228,13.22013781,0.113056561,1
0.46193563,0.487832612,0.315481305,1.819954517,13.24640893,0.104528875,1
0.576032077,0.358252455,0.516983611,-0.576398489,13.216786,0.051292987,0
0.62154872,0.262025276,-0.006009507,-21.70594299,13.40996387,0.098626815,0
0.47431594,0.734590415,1.028697516,1.278061755,11.78484608,0.003166321,1
0.456567443,0.517755857,0.635581995,0.470544134,13.1850509,0.107110372,1
0.460854785,0.31567231,0.264739214,-7.320888482,13.20957042,0.138335514,0
0.542343328,0.543783121,0.681993371,2.819697551,11.44302628,0.081292047,1
0.547431554,0.82023909,1.145498459,0.837838791,11.13405541,0.0396495,1
0.470809093,0.466740127,0.183905108,-0.19647244,13.23443281,0.092039843,1
0.516080007,0.588509563,0.692215469,3.172793524,11.2600134,0.076863533,1
0.477411228,0.795344495,1.035448137,1.183472877,11.54361082,0.019141113,1
0.470807346,0.804408258,1.312503395,1.025792129,11.67022703,0.030814425,1
0.576286746,0.330394396,0.023661027,-18.57877302,13.28123762,0.105497375,0
0.464508141,0.392974819,0.267561636,-20.54006182,13.43410177,0.126694492,0
0.53305921,0.554095315,0.727352328,1.681400704,13.17297343,0.034312483,1
0.466292839,0.870580403,1.014485582,0.212893692,11.55357764,0.028552597,1
0.460919301,0.831611362,1.056103382,-1.409275497,11.40727523,0.016640082,1
