rA/rC,Simple diff-X,Diff-Xmullican,delta-Hf,delta-Smix,(Delta),Possibility of formation
0.4722,0.8025,1.060725,0,11.52,0.012284048,1
0.53125,0.4675,0.495277226,-28.25,11.52,0.071176981,0
0.586207,0.408,0.192811981,-18.4,13.381,0.108732576,0
0.548387097,0.555,0.626137239,2.5,11.52,0.074511093,1
0.548387,0.54975,0.691174662,-2.025,13.075,0.042215568,1
0.53125,0.4475,0.354346272,-31.5,11.52,0.071176981,0
0.459459459,0.44,0.622555448,-1.92,13.381,0.116949927,1
0.485714,0.795,1.0871,0,11.52,0,1
0.586207,0.334,0.238942607,-18.08,13.381,0.106060606,0
0.566666667,0.47,0.198229386,-8,11.52,0.130506916,0
0.459459459,0.5645,0.529209751,1.1025,13.075,0.087820589,1
0.4722,0.8175,1.0374,0,11.52,0.012284048,1
0.586207,0.358,-0.210470508,-20.32,13.381,0.103547023,0
0.53125,0.53375,0.72463695,-0.315,13.075,0.046876549,1
0.548387097,0.6075,0.60701261,3.5,11.52,0.066666667,1
0.4722,0.804,1.05946,0,13.381,0.011363636,1
0.548387097,0.459,0.602016404,-1.71,13.075,0.035466916,1
0.459459459,0.518,0.650814341,-1.305,13.075,0.124699818,1
0.459459459,0.48425,0.682255991,-1.845,13.075,0.122450941,1
0.548387097,0.42,0.573731981,-1.44,13.38,0.075030487,1
0.566666667,0.475,0.19926455,-9.75,11.52,0.132075472,0
0.548387,0.502,0.654834249,-1.6,13.381,0.040540541,1
0.53125,0.4475,0.567912923,-21.5,11.52,0.080396065,0
0.459459459,0.446,0.638784252,-1.28,13.381,0.122829384,1
0.459459459,0.51125,0.497686749,1.035,13.075,0.101158832,1
0.53125,0.61,0.585963612,-22.88,13.381,0.1498753,0
0.4722,0.808,1.08384,0,13.381,0.011363636,1
0.548387097,0.586,0.65150338,2.72,13.38,0.090651404,1
0.485714,0.7975,1.096475,0,11.52,0,1
0.586207,0.408,0.080067217,-17.6,13.381,0.108732576,0
0.607142857,0.2875,0.017557773,-11,11.52,0.107675112,0
0.607142857,0.2875,0.211814109,-8,11.52,0.105591467,0
0.548387097,0.464,0.541765171,-1.71,13.075,0.031916514,1
0.548387097,0.5075,0.651538698,-5,11.52,0.084465164,1
0.459459459,0.584,0.567114223,0.96,13.381,0.083852549,1
0.548387097,0.5475,0.596791724,2.5,11.52,0.074511093,1
0.459459459,0.5855,0.727982421,-0.2925,13.075,0.115437712,1
0.548387097,0.574,0.673337097,-4.48,13.38,0.103168373,0
0.459459459,0.398,0.214018931,-18.72,13.381,0.199844011,0
0.586207,0.338,0.083537538,-21.76,13.381,0.106323575,0
0.548387097,0.414,0.550255569,-1.76,13.38,0.075030487,1
0.548387097,0.38875,0.521208358,-3.42,-13.07,0.091285037,0
0.459459459,0.462,0.596389938,-1.305,13.075,0.125349668,1
0.607142857,0.274,0.242576204,-18.24,13.381,0.038628936,0
0.548387,0.476,0.642567538,-1.8,13.075,0.039404311,1
0.548387097,0.568,0.61512779,0.96,13.381,0.050906903,1
0.548387097,0.5115,0.59993461,-1.8225,13.075,0.035466916,1
0.4722,0.805,1.081825,0,11.52,0.012284048,1
0.459459459,0.4865,0.559182614,-0.0225,13.075,0.122971208,1
0.4722,0.8075,1.080425,0,11.52,0.012284048,1
0.586206897,0.196,0.413213947,-5.44,13.38,0.059337591,0
0.586206897,0.465,0.550160862,-4.5,11.52,0.035087719,1
0.459459459,0.542,0.553919095,2.205,13.075,0.087820589,1
0.459459459,0.5,0.570445093,1.44,13.381,0.083852549,1
